Coin,Date,Actual,Predicted,pct_increase_actual,pct_increase_predicted,pct_diff_pred_vs_actual
Sui,2025-07-19,3.7830957,3.9564794,,,4.5831
Sui,2025-07-20,3.8464537,3.7881521,1.6748,-4.2545,-1.5157
Sui,2025-07-21,3.8897632,3.8187105,1.126,0.8067,-1.8267
Sui,2025-07-22,3.9681636,3.9042026,2.0156,2.2388,-1.6119
Sui,2025-07-22,3.9421881,3.9060924,-0.6546,0.0484,-0.9156
Pepe,2025-07-19,1.29e-05,1.35e-05,,,4.6512
Pepe,2025-07-20,1.34e-05,1.31e-05,3.876,-2.963,-2.2388
Pepe,2025-07-21,1.41e-05,1.34e-05,5.2239,2.2901,-4.9645
Pepe,2025-07-22,1.42e-05,1.36e-05,0.7092,1.4925,-4.2254
Pepe,2025-07-22,1.43e-05,1.37e-05,0.7042,0.7353,-4.1958
Aave,2025-07-19,324.6914208,319.9524325,,,-1.4595
Aave,2025-07-20,319.0420842,320.6701197,-1.7399,0.2243,0.5103
Aave,2025-07-21,324.5934044,320.2898902,1.74,-0.1186,-1.3258
Aave,2025-07-22,322.4052593,318.5788155,-0.6741,-0.5342,-1.1868
Aave,2025-07-22,315.9366058,320.1699864,-2.0064,0.4995,1.3399
NEAR Protocol,2025-07-19,2.8004981,2.859776,,,2.1167
NEAR Protocol,2025-07-20,2.9189809,2.8174426,4.2308,-1.4803,-3.4786
NEAR Protocol,2025-07-21,2.9767116,3.0277247,1.9778,7.4636,1.7137
NEAR Protocol,2025-07-22,3.0251192,2.994172,1.6262,-1.1082,-1.023
NEAR Protocol,2025-07-22,2.9597817,2.9112468,-2.1598,-2.7696,-1.6398
Bonk,2025-07-19,3.25e-05,3.47e-05,,,6.7692
Bonk,2025-07-20,3.3e-05,3.43e-05,1.5385,-1.1527,3.9394
Bonk,2025-07-21,3.28e-05,3.2e-05,-0.6061,-6.7055,-2.439
Bonk,2025-07-22,3.47e-05,3.18e-05,5.7927,-0.625,-8.3573
Bonk,2025-07-22,3.48e-05,3.27e-05,0.2882,2.8302,-6.0345
NEXO,2025-07-19,1.3225162,1.3207298,,,-0.1351
NEXO,2025-07-20,1.3355789,1.322497,0.9877,0.1338,-0.9795
NEXO,2025-07-21,1.3487707,1.3168114,0.9877,-0.4299,-2.3695
NEXO,2025-07-22,1.3197367,1.3290985,-2.1526,0.9331,0.7094
NEXO,2025-07-22,1.3233312,1.3224882,0.2724,-0.4974,-0.0637
Fartcoin,2025-07-19,1.3490289,1.4247982,,,5.6166
Fartcoin,2025-07-20,1.4194246,1.3533399,5.2182,-5.0153,-4.6557
Fartcoin,2025-07-21,1.4276033,1.4342438,0.5762,5.9781,0.4652
Fartcoin,2025-07-22,1.6052871,1.4136776,12.4463,-1.4339,-11.9362
Fartcoin,2025-07-22,1.6111618,1.4233297,0.366,0.6828,-11.6582
FLOKI,2025-07-19,0.000134,0.0001291,,,-3.6567
FLOKI,2025-07-20,0.000138,0.0001311,2.9851,1.5492,-5.0
FLOKI,2025-07-21,0.0001365,0.0001354,-1.087,3.2799,-0.8059
FLOKI,2025-07-22,0.0001491,0.0001362,9.2308,0.5908,-8.6519
FLOKI,2025-07-22,0.0001421,0.0001485,-4.6948,9.0308,4.5039
KAIA,2025-07-19,0.1672694,0.1600627,,,-4.3084
KAIA,2025-07-20,0.1658892,0.15871,-0.8251,-0.8451,-4.3277
KAIA,2025-07-21,0.1734432,0.1592112,4.5536,0.3158,-8.2056
KAIA,2025-07-22,0.1761497,0.169211,1.5605,6.2808,-3.9391
KAIA,2025-07-22,0.1727935,0.1673696,-1.9053,-1.0882,-3.1389
GALA,2025-07-19,0.0186628,0.0191615,,,2.6722
GALA,2025-07-20,0.0192728,0.0191087,3.2685,-0.2756,-0.8515
GALA,2025-07-21,0.020015,0.020212,3.851,5.7738,0.9843
GALA,2025-07-22,0.0203526,0.0207496,1.6867,2.6598,1.9506
GALA,2025-07-22,0.0198202,0.0205814,-2.6159,-0.8106,3.8405
Pendle,2025-07-19,4.481564,4.2434484,,,-5.3132
Pendle,2025-07-20,4.4806619,4.4291331,-0.0201,4.3758,-1.15
Pendle,2025-07-21,4.6221719,4.4667456,3.1582,0.8492,-3.3626
Pendle,2025-07-22,4.6009582,4.5787834,-0.459,2.5083,-0.482
Pendle,2025-07-22,4.48198,4.6340942,-2.5859,1.208,3.3939
MORPHO,2025-07-19,2.0491355,2.0566532,,,0.3669
MORPHO,2025-07-20,2.0021516,2.0604551,-2.2929,0.1849,2.912
MORPHO,2025-07-21,2.1660077,2.0473721,8.184,-0.635,-5.4772
MORPHO,2025-07-22,2.0331759,2.027722,-6.1326,-0.9598,-0.2682
MORPHO,2025-07-22,1.9821178,2.0352819,-2.5112,0.3728,2.6822
SYRUP,2025-07-19,0.4235997,0.4733872,,,11.7534
SYRUP,2025-07-20,0.4213431,0.4601598,-0.5327,-2.7942,9.2126
SYRUP,2025-07-21,0.4172241,0.4596587,-0.9776,-0.1089,10.1707
SYRUP,2025-07-22,0.4196334,0.4551485,0.5775,-0.9812,8.4634
SYRUP,2025-07-22,0.4300033,0.4594181,2.4712,0.9381,6.8406
1INCH,2025-07-19,0.3159491,0.3357495,,,6.267
1INCH,2025-07-20,0.3179976,0.3182754,0.6484,-5.2045,0.0874
1INCH,2025-07-21,0.3195933,0.3212754,0.5018,0.9426,0.5263
1INCH,2025-07-22,0.3172675,0.3356013,-0.7277,4.4591,5.7787
1INCH,2025-07-22,0.3050263,0.3181386,-3.8583,-5.2034,4.2987
NEO,2025-07-19,6.8659209,6.7959816,,,-1.0186
NEO,2025-07-20,7.1230124,6.7169924,3.7445,-1.1623,-5.7001
NEO,2025-07-21,7.5431125,7.0407181,5.8978,4.8195,-6.6603
NEO,2025-07-22,7.440338,7.087069,-1.3625,0.6583,-4.748
NEO,2025-07-22,7.2146309,7.0571852,-3.0336,-0.4217,-2.1823
DEXE,2025-07-19,7.959936,8.0500752,,,1.1324
DEXE,2025-07-20,7.2429154,7.8987264,-9.0079,-1.8801,9.0545
DEXE,2025-07-21,7.425296,7.4352091,2.5181,-5.8683,0.1335
DEXE,2025-07-22,7.4493712,7.4856866,0.3242,0.6789,0.4875
DEXE,2025-07-22,7.388164,7.4589944,-0.8216,-0.3566,0.9587
DEEP,2025-07-19,0.1888665,0.195558,,,3.543
DEEP,2025-07-20,0.1980068,0.1967474,4.8396,0.6082,-0.636
DEEP,2025-07-21,0.1969429,0.1966568,-0.5373,-0.046,-0.1453
DEEP,2025-07-22,0.1953455,0.1956767,-0.8111,-0.4984,0.1695
DEEP,2025-07-22,0.1943656,0.1939984,-0.5016,-0.8577,-0.1889
KAITO,2025-07-19,1.6286006,1.6955215,,,4.1091
KAITO,2025-07-20,1.6445261,1.6999904,0.9779,0.2636,3.3727
KAITO,2025-07-21,1.6664241,1.6985339,1.3316,-0.0857,1.9269
KAITO,2025-07-22,1.7429113,1.7095862,4.5899,0.6507,-1.912
KAITO,2025-07-22,1.7049416,1.7099561,-2.1785,0.0216,0.2941
POPCAT,2025-07-19,0.3742955,0.3845657,,,2.7439
POPCAT,2025-07-20,0.3892661,0.3722157,3.9997,-3.2114,-4.3801
POPCAT,2025-07-21,0.4207904,0.3869775,8.0984,3.9659,-8.0356
POPCAT,2025-07-22,0.4378684,0.4114431,4.0586,6.3222,-6.035
POPCAT,2025-07-22,0.4370285,0.4538092,-0.1918,10.297,3.8397
GRASS,2025-07-19,1.0698724,1.1271166,,,5.3506
GRASS,2025-07-20,1.0623089,1.1012929,-0.707,-2.2911,3.6697
GRASS,2025-07-21,1.1408261,1.1034256,7.3912,0.1937,-3.2784
GRASS,2025-07-22,1.1518644,1.134543,0.9676,2.8201,-1.5038
GRASS,2025-07-22,1.1317234,1.1479084,-1.7486,1.178,1.4301
TURBO,2025-07-19,0.0054078,0.0057346,,,6.0431
TURBO,2025-07-20,0.0054902,0.0056815,1.5237,-0.926,3.4844
TURBO,2025-07-21,0.0054472,0.0056772,-0.7832,-0.0757,4.2224
TURBO,2025-07-22,0.0056911,0.0054364,4.4775,-4.2415,-4.4754
TURBO,2025-07-22,0.0055508,0.0054368,-2.4653,0.0074,-2.0538
SAFE,2025-07-19,0.495943,0.4905957,,,-1.0782
SAFE,2025-07-20,0.5026985,0.4894166,1.3622,-0.2403,-2.6421
SAFE,2025-07-21,0.5194192,0.495878,3.3262,1.3202,-4.5322
SAFE,2025-07-22,0.5537533,0.510256,6.6101,2.8995,-7.855
SAFE,2025-07-22,0.530291,0.550313,-4.237,7.8504,3.7757
PLUME,2025-07-19,0.1045123,0.109639,,,4.9054
PLUME,2025-07-20,0.1089439,0.1084667,4.2403,-1.0692,-0.438
PLUME,2025-07-21,0.1124716,0.1080306,3.2381,-0.4021,-3.9486
PLUME,2025-07-22,0.1226729,0.1097048,9.0701,1.5497,-10.5713
