coinswitch_pair,coin_id,coin_name
DIA/INR,dia,
LA/INR,la,
RPL/INR,rpl,
STRK/INR,strk,
ZEC/INR,zec,
2Z/INR,2z,
AEVO/INR,aevo,
CVX/INR,cvx,
ENSO/INR,enso,
KERNEL/INR,kernel,
YGG/INR,ygg,
1MBABYDOGE/INR,1mbabydoge,1MBABYDOGE
MIRA/INR,mira,
X/INR,x,
BOME/INR,bome,
ICP/INR,icp,
WLD/INR,wld,
GLM/INR,glm,
NEXO/INR,nexo,NEXO
SXP/INR,sxp,
UXLINK/INR,uxlink,UXLINK
0G/INR,0g,
POL/INR,pol,
RDNT/INR,rdnt,
S/INR,s,
WAVES/INR,waves,WAVES
XAI/INR,xai,
FORM/INR,form,FORM
GRIFFAIN/INR,griffain,GRIFFAIN
ID/INR,id,
NEWT/INR,newt,NEWT
ONDO/INR,ondo,
ACH/INR,ach,
ATOM/INR,atom,
HBAR/INR,hbar,
LAYER/INR,layer,
MOG/INR,mog,MOG
NIL/INR,nil,
PNUT/INR,pnut,PNUT
APE/INR,ape,
COMP/INR,comp,
FET/INR,fet,
HMSTR/INR,hmstr,
HNT/INR,hnt,
MANA/INR,mana,
NOT/INR,not,
OPEN/INR,open,
BANANA/INR,banana,BANANA
CTSI/INR,ctsi,
GUN/INR,gun,
LINEA/INR,linea,
MOVE/INR,move,
PEOPLE/INR,people,
STO/INR,sto,
TOWNS/INR,towns,
MIGGLES/INR,miggles,
MNT/INR,mnt,
NMR/INR,nmr,
SYRUP/INR,syrup,SYRUP
COTI/INR,coti,COTI
PYR/INR,pyr,
TWT/INR,twt,
ZKC/INR,zkc,
BIGTIME/INR,bigtime,
PERP/INR,perp,
SXT/INR,sxt,
TIA/INR,tia,TIA
UNI/INR,uni,UNI
ALICE/INR,alice,ALICE
RAY/INR,ray,
RESOLV/INR,resolv,RESOLV
SFP/INR,sfp,
XLM/INR,xlm,
PARTI/INR,parti,
RENDER/INR,render,
TOSHI/INR,toshi,TOSHI
TRX/INR,trx,
AIOZ/INR,aioz,
AMP/INR,amp,
ERA/INR,era,
FLR/INR,flr,
HAEDAL/INR,haedal,HAEDAL
JOE/INR,joe,JOE
MEW/INR,mew,
PIXEL/INR,pixel,
BICO/INR,bico,
G/INR,g,
HOLO/INR,holo,
IMX/INR,imx,
SIGN/INR,sign,
SPX/INR,spx,
ZIL/INR,zil,
ZK/INR,zk,
DOGS/INR,dogs,
IO/INR,io,IO
KAVA/INR,kava,
LQTY/INR,lqty,
MYRIA/INR,myria,MYRIA
OGN/INR,ogn,
PENGU/INR,pengu,
REQ/INR,req,
EDU/INR,edu,
FUN/INR,fun,
LISTA/INR,lista,LISTA
TEL/INR,tel,
ZRX/INR,zrx,
DOGE/INR,doge,DOGE
1INCH/INR,1inch,1INCH
AKT/INR,akt,
AR/INR,ar,
CETUS/INR,cetus,
COQ/INR,coq,
FARTCOIN/INR,fartcoin,Fartcoin
FIL/INR,fil,
ALGO/INR,algo,
BANANAS31/INR,bananas31,
BCUT/INR,bcut,
BNB/INR,bnb,
HYPE/INR,hype,
INIT/INR,init,
INJ/INR,inj,
KNC/INR,knc,
ACT/INR,act,
DASH/INR,dash,
ETC/INR,etc,
LIGHT/INR,light,
MITO/INR,mito,
MASK/INR,mask,
OG/INR,og,
TAO/INR,tao,
BB/INR,bb,
ELIZAOS/INR,elizaos,
F/INR,f,
JST/INR,jst,
HYPER/INR,hyper,
MOODENG/INR,moodeng,
NPC/INR,npc,NPC
SHIB/INR,shib,
IOTX/INR,iotx,
PROM/INR,prom,
RUNE/INR,rune,
SAPIEN/INR,sapien,
SUN/INR,sun,
TREE/INR,tree,
USUAL/INR,usual,USUAL
VOXEL/INR,voxel,
AVAX/INR,avax,
LTC/INR,ltc,
TURTLE/INR,turtle,
WLFI/INR,wlfi,
BLUR/INR,blur,BLUR
JASMY/INR,jasmy,
TUT/INR,tut,
WIF/INR,wif,
YFI/INR,yfi,
ARPA/INR,arpa,ARPA
ASTER/INR,aster,
BAN/INR,ban,
BARD/INR,bard,
PONKE/INR,ponke,PONKE
SKY/INR,sky,
WAL/INR,wal,
ZRO/INR,zro,
EDEN/INR,eden,
GIGA/INR,giga,
STX/INR,stx,
VINE/INR,vine,VINE
BELIEVE/INR,believe,
CFX/INR,cfx,
CGPT/INR,cgpt,
ME/INR,me,
TRUMP/INR,trump,
XTZ/INR,xtz,
AUDIO/INR,audio,
BONK/INR,bonk,Bonk
CHR/INR,chr,
MUBARAK/INR,mubarak,MUBARAK
PLUME/INR,plume,PLUME
RSR/INR,rsr,
SENT/INR,sent,
XYO/INR,xyo,
BABY/INR,baby,BABY
DOLO/INR,dolo,
ENA/INR,ena,
IOST/INR,iost,
JTO/INR,jto,
KITE/INR,kite,
TRAC/INR,trac,TRAC
BAND/INR,band,
C98/INR,c98,
EGLD/INR,egld,
KMNO/INR,kmno,
M3M3/INR,m3m3,M3M3
MANTRA/INR,mantra,
NKN/INR,nkn,NKN
VTHO/INR,vtho,
MET/INR,met,
RLC/INR,rlc,
SNX/INR,snx,
SOPH/INR,soph,
SPK/INR,spk,
TURBO/INR,turbo,TURBO
ZBT/INR,zbt,
1000CHEEMS/INR,1000cheems,
AT/INR,at,
KSM/INR,ksm,
SHELL/INR,shell,SHELL
WCT/INR,wct,
BANK/INR,bank,
CELR/INR,celr,
HIGH/INR,high,HIGH
NXPC/INR,nxpc,
QKC/INR,qkc,
WOO/INR,woo,
CYBER/INR,cyber,
AITECH/INR,aitech,
ETH/INR,eth,
MOBILE/INR,mobile,
NOM/INR,nom,
PAXG/INR,paxg,
WIN/INR,win,
AIXBT/INR,aixbt,aixbt by Virtuals
BRETT/INR,brett,BRETT
FLOKI/INR,floki,FLOKI
IP/INR,ip,
SOMI/INR,somi,
SSV/INR,ssv,
STORJ/INR,storj,STORJ
SUSHI/INR,sushi,SUSHI
ANIME/INR,anime,ANIME
BCH/INR,bch,
DEEP/INR,deep,DEEP
DEXE/INR,dexe,DEXE
MEME/INR,meme,
NEO/INR,neo,NEO
REZ/INR,rez,
SYN/INR,syn,
ASTR/INR,astr,
MELANIA/INR,melania,
MMT/INR,mmt,
VIRTUAL/INR,virtual,
CRV/INR,crv,
PENDLE/INR,pendle,Pendle
TFUEL/INR,tfuel,
VANA/INR,vana,VANA
VET/INR,vet,
BAT/INR,bat,
D/INR,d,
HOME/INR,home,HOME
LDO/INR,ldo,
NEAR/INR,near,NEAR Protocol
PHA/INR,pha,PHA
RED/INR,red,
VANRY/INR,vanry,
ALLO/INR,allo,
CKB/INR,ckb,
ESP/INR,esp,
PEPE/INR,pepe,Pepe
SUNDOG/INR,sundog,SUNDOG
TON/INR,ton,
VVV/INR,vvv,
XEM/INR,xem,
ARB/INR,arb,
DGB/INR,dgb,
FRAX/INR,frax,
MYRO/INR,myro,MYRO
XEC/INR,xec,
XNO/INR,xno,
XRP/INR,xrp,
AI/INR,ai,
AXS/INR,axs,
CHZ/INR,chz,
EUL/INR,eul,
LPT/INR,lpt,
MAVIA/INR,mavia,
QNT/INR,qnt,
W/INR,w,W
DYM/INR,dym,
GNO/INR,gno,
MANTA/INR,manta,
TRB/INR,trb,
ATH/INR,ath,
GNS/INR,gns,
HEMI/INR,hemi,
ILV/INR,ilv,
JUP/INR,jup,
KAS/INR,kas,
LUNA2/INR,luna2,
